midpoint_age_range,L,M,S,3rd,10th,50th,90th,97th
5.5,1.24,6.7,0.14,4.8,5.4,6.7,7.9,8.4
5.75,1.21,6.6,0.14,4.8,5.3,6.6,7.8,8.3
6,1.19,6.5,0.14,4.7,5.3,6.5,7.7,8.2
6.25,1.16,6.4,0.14,4.7,5.2,6.4,7.6,8.1
6.5,1.14,6.4,0.14,4.6,5.1,6.4,7.6,8.1
6.75,1.12,6.3,0.15,4.5,5.1,6.3,7.5,8
7,1.09,6.2,0.15,4.5,5,6.2,7.5,8
7.25,1.07,6.2,0.16,4.3,4.9,6.2,7.4,8
7.5,1.05,6.1,0.16,4.2,4.8,6.1,7.4,7.9
7.75,1.02,6,0.17,4.1,4.7,6,7.4,7.9
8,1,6,0.17,4,4.6,6,7.4,7.9
8.25,0.97,6,0.18,3.9,4.5,6,7.4,8
8.5,0.95,5.9,0.19,3.9,4.5,5.9,7.4,8
8.75,0.93,6,0.19,3.8,4.4,6,7.5,8.2
9,0.9,6,0.2,3.8,4.4,6,7.7,8.3
9.25,0.88,6.1,0.21,3.8,4.5,6.1,7.8,8.5
9.5,0.86,6.2,0.21,3.8,4.5,6.2,8,8.8
9.75,0.83,6.3,0.22,3.8,4.5,6.3,8.2,9
10,0.81,6.4,0.22,3.9,4.6,6.4,8.4,9.3
10.25,0.79,6.6,0.23,3.9,4.6,6.6,8.6,9.5
10.5,0.76,6.6,0.24,3.9,4.6,6.6,8.8,9.7
10.75,0.74,6.6,0.24,3.8,4.6,6.6,8.9,9.9
11,0.71,6.6,0.26,3.6,4.4,6.6,9,10
11.25,0.69,6.5,0.28,3.4,4.2,6.5,9,10.1
11.5,0.67,6.3,0.3,3.1,3.9,6.3,9,10.2
11.75,0.64,6,0.34,2.7,3.5,6,8.9,10.3
12,0.62,5.7,0.38,2.2,3.1,5.7,8.8,10.2
12.25,0.6,5.3,0.42,1.8,2.6,5.3,8.6,10.1
12.5,0.57,4.8,0.47,1.4,2.2,4.8,8.2,9.9
12.75,0.55,4.3,0.52,1,1.8,4.3,7.8,9.5
13,0.53,3.8,0.57,0.8,1.4,3.8,7.3,9
13.25,0.5,3.3,0.62,0.6,1.1,3.3,6.6,8.3
13.5,0.48,2.8,0.67,0.4,0.9,2.8,6,7.6
13.75,0.45,2.4,0.71,0.3,0.7,2.4,5.3,6.9
14,0.43,2,0.75,0.2,0.5,2,4.7,6.1
14.25,0.41,1.7,0.79,0.2,0.4,1.7,4,5.3
14.5,0.38,1.4,0.82,0.1,0.3,1.4,3.5,4.7
14.75,0.36,1.2,0.84,0.1,0.3,1.2,3,4.1
15,0.34,1,0.87,0.1,0.2,1,2.6,3.6
15.25,0.31,0.9,0.89,0.1,0.2,0.9,2.4,3.3
15.5,0.29,0.8,0.91,0.1,0.2,0.8,2.1,3
15.75,0.27,0.7,0.92,0.1,0.2,0.7,2,2.8
16,0.24,0.6,0.94,0.1,0.1,0.6,1.8,2.6
16.25,0.22,0.5,0.95,0.1,0.1,0.5,1.6,2.4
16.5,0.19,0.5,0.96,0.1,0.1,0.5,1.5,2.3
16.75,0.17,0.5,0.97,0.1,0.1,0.5,1.5,2.3
17,0.15,0.4,0.98,0.1,0.1,0.4,1.5,2.3
17.25,0.12,0.4,0.99,0.1,0.1,0.4,1.5,2.3
17.5,0.1,0.4,1,0,0.1,0.4,1.4,2.3
17.75,,,,,,,,
18,,,,,,,,
18.25,,,,,,,,
18.5,,,,,,,,
